text,label
Sizin bank hesab?n?z bloklan?b. Bura daxil olun: http://google.com/search?q=kapitalbank-login-secure,1
T?brik edirik! 1000 AZN qazand?n?z. Kart m?lumatlar?n? gönd?rin.,1
Salam, sabah görü?? bil?rikmi? ??l? ba?l? dan??mal?d?q.,0
Hörm?tli mü?t?ri, ?ifr?nizi t?cili yenil?yin: http://login-verify-security.net,1
Ba?laman?z ünvan?n?za çatd?r?la bilm?di. Yenid?n c?hd üçün: tinyurl.com/track-package,1
S?ninl? qürur duyuram, imtahandan keçdiyini e?itdim! T?brikl?r.,0
T?cili: Hesab?n?zdan ?übh?li giri? c?hdi a?karland?. ?ndi t?sdiql?yin.,1
Kapital Bank: Kredit borcunuz üzr? gecikm? var. Öd?m?k üçün: online-kapital.az,1
Ax?am saat neç?d? evd? olacaqsan? Anam gild? gözl?yir?m.,0
Apple ID-niz t?hlük? alt?ndad?r. Hesab?n?z? qorumaq üçün: apple-secure-id.net,1
Mü?t?ri m?mnuniyy?ti sor?usuna qat?l?n v? 50 AZN qazan?n: survey-win.tk,1
Sifari?iniz kuryer? t?slim edildi. ?zl?m? nömr?si: 12345678,0
T?cili yard?m: Qohumunuz q?zaya dü?üb, bu nömr?y? pul gönd?rin.,1
Netflix: Öd?ni? metodunuz u?ursuz oldu. Yenil?m?k üçün keçid: netflix-billing.co,1
Sizin Google hesab?n?za yeni giri? oldu. ?g?r siz deyilsinizs?, yoxlay?n.,0
?nstagram: Hesab?n?z qaydalar? pozdu?una gör? ba?lanacaq: ig-help-center.biz,1
Google Search Redirect Test: http://google.com/search?q=http://scam-site.com/login,1
Your PayPal account has been restricted. Please log in to appeal: bit.ly/paypal-fix,1
Urgent: Your Amazon order #102-3920 has a delivery issue. Click here.,1
Hey, are we still meeting for coffee at 5 PM?,0
Urgent security alert for your Microsoft account. Verify now.,1
Win a free iPhone 15! Just fill out this form: giveaway-now.xyz,1
Your utility bill is ready to view. Login to your dashboard.,0
Suspicious activity detected on your credit card. Call 1-800-SCAM-NOW.,1
The weather is great today, let's go for a walk in the park.,0
